@relation new

@attribute year numeric
@attribute iso_code {ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRD,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COD,COG,CRI,CIV,HRV,CYP,CZE,DNK,DOM,ECU,EGY,SLV,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,LUX,MKD,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,VEN,VNM,YEM,ZMB,ZWE}
@attribute rank numeric
@attribute government_consumption numeric
@attribute transfers numeric
@attribute gov_enterprises numeric
@attribute top_marg_tax_rate numeric
@attribute size_government numeric
@attribute judicial_independence numeric
@attribute impartial_courts numeric
@attribute protection_property_rights numeric
@attribute military_interference numeric
@attribute integrity_legal_system numeric
@attribute legal_enforcement_contracts numeric
@attribute restrictions_sale_real_property numeric
@attribute reliability_police numeric
@attribute business_costs_crime numeric
@attribute gender_adjustment numeric
@attribute property_rights numeric
@attribute money_growth numeric
@attribute std_inflation numeric
@attribute inflation numeric
@attribute freedom_own_foreign_currency numeric
@attribute sound_money numeric
@attribute tariffs numeric
@attribute regulatory_trade_barriers numeric
@attribute black_market numeric
@attribute control_movement_capital_ppl numeric
@attribute trade numeric
@attribute credit_market_reg numeric
@attribute labor_market_reg numeric
@attribute business_reg numeric
@attribute regulation numeric
@attribute freedom numeric

@data
2016,ALB,34,8.232353,7.509902,8,8,7.935564,2.668222,3.145462,4.512228,8.333333,4.166667,4.387444,6.485287,6.9335,6.215401,0.948718,5.071814,8.986454,9.484575,9.7436,2,9.553657,8.963556,7.489905,10,6.406138,8.2149,7.098562,6.916278,6.705863,6.906901,1
2016,DZA,159,2.15,7.817129,0,4.5,3.616782,4.186704,4.327113,4.689952,4.166667,5,4.507538,6.626692,6.136845,6.737383,0.820513,4.690743,6.955962,8.339152,8.72046,1,7.253894,6.872533,2.481294,5.56391,1.590362,4.127025,5.100509,5.029513,5.676956,5.268992,0
2016,AGO,155,7.6,8.886739,0,9.5,6.496685,1.843129,1.974566,2.512364,3.333333,4.166667,2.3022,5.455882,3.016104,4.291197,0.846154,2.963635,9.385679,4.986742,3.054,1,5.606605,6.989244,2.024949,10,2.044823,5.264754,7.064905,4.560325,4.930271,5.5185,0
2016,ARG,160,5.335294,6.04893,6,4,5.346056,3.68969,2.930563,4.255995,7.5,3.333333,3.632872,6.857195,3.385786,4.133832,0.769231,3.90403,5.233264,5.224079,2,2,5.614336,6.4216,4.811105,0,4.697482,3.982547,5.41982,5.151405,5.535831,5.369019,0
2016,ARM,29,7.264706,7.748532,8,5,7.00331,3.867379,4.197569,5.664317,5.833333,5,5.196693,9.801963,5.714028,7.007654,1,5.809215,9.078264,9.263496,9.746,2,9.52194,8.547556,7.19441,10,6.830998,8.143241,9.102046,6.23463,6.79753,7.378069,1
2016,AUS,10,4.511765,6.664948,10,5,6.544178,8.766929,5.610653,7.998304,10,9.166667,6.025331,8.205655,8.707445,6.790183,1,7.919019,8.564838,9.500704,9.74462,2,9.45254,8.82,7.427103,10,3.859781,7.526721,9.576358,7.698589,8.121631,8.465526,1
2016,AUT,27,3.744118,3.101062,10,3.5,5.086295,7.650855,5.4822,8.092565,10,10,6.220993,8.100494,8.501867,7.194909,1,7.915987,8.033869,9.875451,9.822,2,9.43283,8.266133,8.254011,10,5.906786,8.106733,9.129015,5.565118,7.41987,7.371334,1
2016,AZE,106,6.320588,7.881208,0,6.5,5.175449,5.676886,5.861119,6.321836,5,5.833333,7.252962,9.830312,6.170495,7.280192,0.717949,5.652732,9.240398,6.64935,9.1642,1,7.513487,7.973778,6.799052,10,4.093268,7.216525,7.467778,6.076782,7.080078,6.87488,1
2016,BHS,49,7.085294,9.040503,7,10,8.281449,?,6.7,?,10,6.666667,4.699257,6.14935,?,?,0.945946,6.658107,8.654101,8.975514,9.9308,0,6.890104,3.253067,8.105925,10,5.384615,6.685902,8.622733,8.361606,7.523034,8.169125,1
2016,BHR,30,3.688235,9.581704,10,10,8.317485,6.822563,6.231401,7.435713,5,7.5,4.785814,8.855315,7.764706,7.28725,0.536585,5.265602,9.961596,8.215418,9.4404,2,9.404353,8.5232,6.295595,10,4.794819,7.403403,7.609167,6.619418,8.018774,7.415786,1
2016,BGD,120,9.455882,9.72459,7,8,8.545118,3.888845,3.418128,5.08329,4.166667,3.333333,0.941148,3.120479,3.754961,4.728148,0.794872,3.234259,9.489123,9.548044,8.8973,0,6.983617,6.5412,3.238636,10,4.377655,6.039373,7.884084,7.223647,4.96258,6.690103,1
2016,BRD,111,7.564495,5.968942,6,6,6.383359,6.430164,4.110034,6.498498,9.8,?,3.803003,6.174797,7.495682,4.895975,0.871795,5.756723,6.4348,9.203652,9.98,0,6.404613,7.282578,5.66188,10,5.415145,7.089901,6.286333,7.139467,6.148503,6.524768,1
2016,BLR,123,5.085294,4.46049,10,7.5,6.761446,?,4.2,?,5,5.833333,6.970305,9.943302,?,?,0.72973,5.525957,8.698423,0,7.632684,1,5.332777,7.704356,9.728995,10,1.269605,7.175739,3.850618,7.188794,8.092322,6.377245,1
2016,BEL,52,2.491176,2.010416,10,1,3.875398,7.683749,5.396706,7.907518,10,8.333333,5.565038,4.76701,7.667312,6.278736,1,7.0666,8.094897,9.808967,9.6056,2,9.377366,8.266133,8.057299,10,6.481454,8.201222,9.606066,7.327516,7.37438,8.102654,1
2016,BLZ,83,6.632643,8.43126,4,9,7.015976,8.027164,4.2,7.385106,6.4,?,3.329066,7.288232,3.329,4.76701,0.837838,5.137397,9.412645,9.545453,9.86,0,7.204524,6.619111,6.873193,10,4.709434,7.050435,9.947942,7.018917,6.684745,7.883868,1
2016,BEN,134,7.458824,9.771475,4,3.5,6.182575,3.352327,4.098691,4.988822,6.3,?,1.068747,6.581602,5.510088,4.978127,0.658537,3.822761,9.438973,8.802568,9.814,0,7.013885,6.807733,4.712944,10,2.585506,6.026546,8.487923,5.937581,6.142281,6.855929,0
2016,BTN,73,4.447059,9.89942,7,8.5,7.46162,6.15917,5.319348,6.705374,9.2,?,7.365355,6.901203,7.969437,7.547394,0.923077,6.871067,8.673923,9.085122,9.1246,0,6.720911,6.471778,7.433688,10,1.424686,6.332538,7.765472,8.664285,6.674658,7.701472,1
2016,BOL,123,5.814706,8.836512,0,10,6.162805,0.956256,1.703646,3.412518,5,4.166667,4.491576,6.754126,2.460318,5.990889,0.871795,3.632945,9.969644,8.300557,9.275,2,9.3863,7.749178,3.98103,10,6.217961,6.987042,7.630667,3.948479,3.346666,4.975271,1
2016,BIH,98,5.582353,5.352167,4,6.5,5.35863,3.081718,2.357058,3.62838,5.1,?,3.793057,7.83712,4.374545,5.173088,0.871795,4.134908,8.806769,9.707142,9.749712,1,8.315906,8.551867,7.169369,10,5.417872,7.784777,9.561234,7.399741,5.279863,7.413612,1
2016,BWA,44,3.644118,7.164033,7,9,6.702038,5.342911,5.415025,6.813228,8.333333,5.833333,3.072296,7.813293,6.060113,5.566627,0.974359,5.950516,8.753211,8.227722,9.2462,2,9.056783,5.944,7.514894,10,7.259208,7.679525,8.856753,7.50968,6.942897,7.769777,1
2016,BRA,144,4.714706,5.786374,4,6,5.12527,5.175664,3.006006,5.518026,6.666667,3.333333,3.663252,8.354688,4.299419,2.80659,0.923077,4.575176,9.103945,9.532097,8.2522,1,7.97206,7.261778,5.508447,10,5.230938,7.000291,4.540031,4.149861,3.590036,4.093309,0
2016,BRN,77,0,?,?,10,5,5.154732,3.523385,5.659207,8.333333,8.333333,4.171104,4.802773,6.560233,7.161272,0.794872,5.354638,9.498933,5.837363,9.85354,2,8.797459,9.2584,3.761357,10,5.199615,7.054843,9.128576,8.686708,7.513954,8.443079,1
2016,BGR,46,5.747059,5.846512,8,8.5,7.023393,3.325276,3.326449,4.18321,8.333333,5,5.083932,8.687652,4.260773,4.903685,0.846154,4.831211,8.462608,9.454487,9.8403,2,9.439349,8.266133,7.604036,10,6.61925,8.122355,9.610572,7.035682,6.19199,7.612748,1
2016,BFA,129,3.121846,10,2,6.5,5.405462,1.85398,3.594627,4.163926,3.333333,5.833333,2.139195,4.789216,5.077217,4.677293,0.871795,3.687657,9.902545,8.63259,9.9506,0,7.121434,7.367733,4.538209,10,4.510639,6.604145,9.00898,7.158336,6.115344,7.427554,1
